HourDK,GrossConsumptionMWh,t2m,step_days,Is_Holiday,Day_Monday,Day_Tuesday,Day_Wednesday,Day_Thursday,Day_Friday,Day_Saturday,Day_Sunday,Month_January,Month_February,Month_March,Month_April,Month_May,Month_June,Month_July,Month_August,Month_September,Month_October,Month_November,Month_December
2005-01-01,84760.194094,4.379644166666666,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2005-01-02,91208.524416,3.91290385,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2005-01-03,112086.718383,4.320020825,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2005-01-04,114699.218872,6.1464495999999995,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2005-01-05,113435.680422,5.212294825,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2005-01-06,113777.712648,5.199876025,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2005-01-07,111656.72985799999,5.792977725,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2005-01-08,93612.81738000001,5.969916975,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2005-01-09,89567.450198,5.4260087,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2005-01-10,110808.243772,5.447746475000001,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2005-01-11,110655.83728,4.703297975,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2005-01-12,112597.888428,4.330688950000001,11,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2005-01-13,113271.325682,3.979910725,12,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2005-01-14,108644.121705,3.6007876750000003,13,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2005-01-15,95294.156126,3.2228279,14,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2005-01-16,91538.76708599999,2.87342215,15,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2005-01-17,113569.53821099999,2.0882819,16,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2005-01-18,114295.042111,1.9444951,17,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2005-01-19,115874.242187,1.56076295,18,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2005-01-20,115858.710937,1.42389005,19,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
