valid_time,time,step,t2m
2016-01-01 06:00:00,2016-01-01,0 days 06:00:00,4.6579123
2016-01-01 12:00:00,2016-01-01,0 days 12:00:00,5.7146244
2016-01-01 18:00:00,2016-01-01,0 days 18:00:00,3.8240838
2016-01-02 00:00:00,2016-01-01,1 days 00:00:00,3.269537
2016-01-02 06:00:00,2016-01-01,1 days 06:00:00,1.8973516
2016-01-02 12:00:00,2016-01-01,1 days 12:00:00,0.3000009
2016-01-02 18:00:00,2016-01-01,1 days 18:00:00,-1.1785536
2016-01-03 00:00:00,2016-01-01,2 days 00:00:00,-2.0775716
2016-01-03 06:00:00,2016-01-01,2 days 06:00:00,-2.5629144
2016-01-03 12:00:00,2016-01-01,2 days 12:00:00,-2.0805864
2016-01-03 18:00:00,2016-01-01,2 days 18:00:00,-2.371903
2016-01-04 00:00:00,2016-01-01,3 days 00:00:00,-2.7274456
2016-01-04 06:00:00,2016-01-01,3 days 06:00:00,-2.866154
2016-01-04 12:00:00,2016-01-01,3 days 12:00:00,-1.9146557
2016-01-04 18:00:00,2016-01-01,3 days 18:00:00,-2.299658
2016-01-05 00:00:00,2016-01-01,4 days 00:00:00,-2.4123971
2016-01-05 06:00:00,2016-01-01,4 days 06:00:00,-2.3307195
2016-01-05 12:00:00,2016-01-01,4 days 12:00:00,-1.1925552
2016-01-05 18:00:00,2016-01-01,4 days 18:00:00,-1.4880755
2016-01-06 00:00:00,2016-01-01,5 days 00:00:00,-1.7063628
2016-01-06 06:00:00,2016-01-01,5 days 06:00:00,-1.7903887
2016-01-06 12:00:00,2016-01-01,5 days 12:00:00,-0.85719347
2016-01-06 18:00:00,2016-01-01,5 days 18:00:00,-1.477469
2016-01-07 00:00:00,2016-01-01,6 days 00:00:00,-1.5373795
2016-01-07 06:00:00,2016-01-01,6 days 06:00:00,-1.066239
2016-01-07 12:00:00,2016-01-01,6 days 12:00:00,0.32043082
2016-01-07 18:00:00,2016-01-01,6 days 18:00:00,0.9896627
2016-01-08 00:00:00,2016-01-01,7 days 00:00:00,1.7716676
2016-01-08 06:00:00,2016-01-01,7 days 06:00:00,1.9302782
2016-01-08 12:00:00,2016-01-01,7 days 12:00:00,2.7839932
2016-01-08 18:00:00,2016-01-01,7 days 18:00:00,2.4337988
2016-01-09 00:00:00,2016-01-01,8 days 00:00:00,2.3085363
2016-01-09 06:00:00,2016-01-01,8 days 06:00:00,1.8817866
2016-01-09 12:00:00,2016-01-01,8 days 12:00:00,2.550839
2016-01-09 18:00:00,2016-01-01,8 days 18:00:00,1.7889544
2016-01-10 00:00:00,2016-01-01,9 days 00:00:00,1.7672744
2016-01-10 06:00:00,2016-01-01,9 days 06:00:00,1.6021528
2016-01-10 12:00:00,2016-01-01,9 days 12:00:00,2.3418446
2016-01-10 18:00:00,2016-01-01,9 days 18:00:00,1.6695063
2016-01-11 00:00:00,2016-01-01,10 days 00:00:00,1.3965281
2016-01-11 06:00:00,2016-01-01,10 days 06:00:00,1.3842007
2016-01-11 12:00:00,2016-01-01,10 days 12:00:00,2.5495064
2016-01-11 18:00:00,2016-01-01,10 days 18:00:00,2.2736182
2016-01-12 00:00:00,2016-01-01,11 days 00:00:00,2.1489627
2016-01-12 06:00:00,2016-01-01,11 days 06:00:00,1.9672999
2016-01-12 12:00:00,2016-01-01,11 days 12:00:00,2.917589
2016-01-12 18:00:00,2016-01-01,11 days 18:00:00,2.5020993
2016-01-13 00:00:00,2016-01-01,12 days 00:00:00,2.4029908
2016-01-13 06:00:00,2016-01-01,12 days 06:00:00,2.2867403
2016-01-13 12:00:00,2016-01-01,12 days 12:00:00,3.0433154
2016-01-13 18:00:00,2016-01-01,12 days 18:00:00,2.339552
2016-01-14 00:00:00,2016-01-01,13 days 00:00:00,1.8621916
2016-01-14 06:00:00,2016-01-01,13 days 06:00:00,1.5225116
2016-01-14 12:00:00,2016-01-01,13 days 12:00:00,2.3073523
2016-01-14 18:00:00,2016-01-01,13 days 18:00:00,1.5736097
2016-01-15 00:00:00,2016-01-01,14 days 00:00:00,1.0631472
2016-01-15 06:00:00,2016-01-01,14 days 06:00:00,0.62913436
2016-01-15 12:00:00,2016-01-01,14 days 12:00:00,1.492971
2016-01-15 18:00:00,2016-01-01,14 days 18:00:00,0.7369234
2016-01-16 00:00:00,2016-01-01,15 days 00:00:00,0.17314322
2016-01-16 06:00:00,2016-01-01,15 days 06:00:00,-0.129198
2016-01-16 12:00:00,2016-01-01,15 days 12:00:00,0.9461401
2016-01-16 18:00:00,2016-01-01,15 days 18:00:00,0.05206958
2016-01-17 00:00:00,2016-01-01,16 days 00:00:00,-0.61473256
2016-01-17 06:00:00,2016-01-01,16 days 06:00:00,-1.0169885
2016-01-17 12:00:00,2016-01-01,16 days 12:00:00,0.33292896
2016-01-17 18:00:00,2016-01-01,16 days 18:00:00,-0.51999587
2016-01-18 00:00:00,2016-01-01,17 days 00:00:00,-0.78221136
2016-01-18 06:00:00,2016-01-01,17 days 06:00:00,-0.8386974
2016-01-18 12:00:00,2016-01-01,17 days 12:00:00,0.3495831
2016-01-18 18:00:00,2016-01-01,17 days 18:00:00,-0.30582103
2016-01-19 00:00:00,2016-01-01,18 days 00:00:00,-0.67410606
2016-01-19 06:00:00,2016-01-01,18 days 06:00:00,-0.803625
2016-01-19 12:00:00,2016-01-01,18 days 12:00:00,0.2861372
2016-01-19 18:00:00,2016-01-01,18 days 18:00:00,-0.41730404
2016-01-20 00:00:00,2016-01-01,19 days 00:00:00,-0.6310966
2016-01-20 06:00:00,2016-01-01,19 days 06:00:00,-0.70830125
2016-01-20 12:00:00,2016-01-01,19 days 12:00:00,0.37621003
2016-01-20 18:00:00,2016-01-01,19 days 18:00:00,-0.05855314
2016-01-21 00:00:00,2016-01-01,20 days 00:00:00,-0.172823
2016-01-21 06:00:00,2016-01-01,20 days 06:00:00,-0.2980592
2016-01-21 12:00:00,2016-01-01,20 days 12:00:00,0.9096149
2016-01-21 18:00:00,2016-01-01,20 days 18:00:00,0.338131
2016-01-22 00:00:00,2016-01-01,21 days 00:00:00,0.47294858
2016-01-22 06:00:00,2016-01-01,21 days 06:00:00,0.46959245
2016-01-22 12:00:00,2016-01-01,21 days 12:00:00,1.8041037
2016-01-22 18:00:00,2016-01-01,21 days 18:00:00,1.0942389
2016-01-23 00:00:00,2016-01-01,22 days 00:00:00,0.96181047
2016-01-23 06:00:00,2016-01-01,22 days 06:00:00,0.98940706
2016-01-23 12:00:00,2016-01-01,22 days 12:00:00,2.3129904
2016-01-23 18:00:00,2016-01-01,22 days 18:00:00,1.7920139
2016-01-24 00:00:00,2016-01-01,23 days 00:00:00,1.440288
2016-01-24 06:00:00,2016-01-01,23 days 06:00:00,1.055732
2016-01-24 12:00:00,2016-01-01,23 days 12:00:00,2.1453698
2016-01-24 18:00:00,2016-01-01,23 days 18:00:00,1.3134907
2016-01-25 00:00:00,2016-01-01,24 days 00:00:00,0.85269237
2016-01-25 06:00:00,2016-01-01,24 days 06:00:00,0.8532822
2016-01-25 12:00:00,2016-01-01,24 days 12:00:00,2.4051487
2016-01-25 18:00:00,2016-01-01,24 days 18:00:00,1.6849167
2016-01-26 00:00:00,2016-01-01,25 days 00:00:00,1.1737952
2016-01-26 06:00:00,2016-01-01,25 days 06:00:00,0.8200521
2016-01-26 12:00:00,2016-01-01,25 days 12:00:00,2.0986779
2016-01-26 18:00:00,2016-01-01,25 days 18:00:00,1.4117905
2016-01-27 00:00:00,2016-01-01,26 days 00:00:00,0.96629775
2016-01-27 06:00:00,2016-01-01,26 days 06:00:00,0.65149325
2016-01-27 12:00:00,2016-01-01,26 days 12:00:00,1.9629794
2016-01-27 18:00:00,2016-01-01,26 days 18:00:00,1.2447144
2016-01-28 00:00:00,2016-01-01,27 days 00:00:00,1.2199259
2016-01-28 06:00:00,2016-01-01,27 days 06:00:00,1.3363895
2016-01-28 12:00:00,2016-01-01,27 days 12:00:00,2.7567317
2016-01-28 18:00:00,2016-01-01,27 days 18:00:00,2.222252
2016-01-29 00:00:00,2016-01-01,28 days 00:00:00,2.0313115
2016-01-29 06:00:00,2016-01-01,28 days 06:00:00,1.9265593
2016-01-29 12:00:00,2016-01-01,28 days 12:00:00,3.2482665
2016-01-29 18:00:00,2016-01-01,28 days 18:00:00,2.328353
2016-01-30 00:00:00,2016-01-01,29 days 00:00:00,1.9126675
2016-01-30 06:00:00,2016-01-01,29 days 06:00:00,1.7637829
2016-01-30 12:00:00,2016-01-01,29 days 12:00:00,3.1490386
2016-01-30 18:00:00,2016-01-01,29 days 18:00:00,2.6402934
2016-01-31 00:00:00,2016-01-01,30 days 00:00:00,2.4547985
2016-01-31 06:00:00,2016-01-01,30 days 06:00:00,2.427642
2016-01-31 12:00:00,2016-01-01,30 days 12:00:00,3.6458745
2016-01-31 18:00:00,2016-01-01,30 days 18:00:00,2.8190496
2016-02-01 00:00:00,2016-01-01,31 days 00:00:00,2.4719696
2016-02-01 06:00:00,2016-01-01,31 days 06:00:00,1.9996021
2016-02-01 12:00:00,2016-01-01,31 days 12:00:00,3.060547
2016-02-01 18:00:00,2016-01-01,31 days 18:00:00,2.2743342
2016-02-02 00:00:00,2016-01-01,32 days 00:00:00,1.9053468
2016-02-02 06:00:00,2016-01-01,32 days 06:00:00,1.7188528
2016-02-02 12:00:00,2016-01-01,32 days 12:00:00,2.923199
2016-02-02 18:00:00,2016-01-01,32 days 18:00:00,2.132165
2016-02-03 00:00:00,2016-01-01,33 days 00:00:00,1.7183895
