valid_time,time,step,t2m
2021-01-01 06:00:00,2021-01-01,0 days 06:00:00,2.1109257
2021-01-01 12:00:00,2021-01-01,0 days 12:00:00,2.8929777
2021-01-01 18:00:00,2021-01-01,0 days 18:00:00,2.3648517
2021-01-02 00:00:00,2021-01-01,1 days 00:00:00,1.8312439
2021-01-02 06:00:00,2021-01-01,1 days 06:00:00,1.477188
2021-01-02 12:00:00,2021-01-01,1 days 12:00:00,2.3550928
2021-01-02 18:00:00,2021-01-01,1 days 18:00:00,1.8428296
2021-01-03 00:00:00,2021-01-01,2 days 00:00:00,1.6577604
2021-01-03 06:00:00,2021-01-01,2 days 06:00:00,1.7305048
2021-01-03 12:00:00,2021-01-01,2 days 12:00:00,2.6538706
2021-01-03 18:00:00,2021-01-01,2 days 18:00:00,2.0652034
2021-01-04 00:00:00,2021-01-01,3 days 00:00:00,1.1998222
2021-01-04 06:00:00,2021-01-01,3 days 06:00:00,0.3872646
2021-01-04 12:00:00,2021-01-01,3 days 12:00:00,0.6950179
2021-01-04 18:00:00,2021-01-01,3 days 18:00:00,0.5891949
2021-01-05 00:00:00,2021-01-01,4 days 00:00:00,0.7985065
2021-01-05 06:00:00,2021-01-01,4 days 06:00:00,0.9313767
2021-01-05 12:00:00,2021-01-01,4 days 12:00:00,1.5891893
2021-01-05 18:00:00,2021-01-01,4 days 18:00:00,1.2121785
2021-01-06 00:00:00,2021-01-01,5 days 00:00:00,1.0778091
2021-01-06 06:00:00,2021-01-01,5 days 06:00:00,0.9711764
2021-01-06 12:00:00,2021-01-01,5 days 12:00:00,1.4182762
2021-01-06 18:00:00,2021-01-01,5 days 18:00:00,0.9714579
2021-01-07 00:00:00,2021-01-01,6 days 00:00:00,0.6569946
2021-01-07 06:00:00,2021-01-01,6 days 06:00:00,0.44515324
2021-01-07 12:00:00,2021-01-01,6 days 12:00:00,1.1108505
2021-01-07 18:00:00,2021-01-01,6 days 18:00:00,0.55954915
2021-01-08 00:00:00,2021-01-01,7 days 00:00:00,0.18743123
2021-01-08 06:00:00,2021-01-01,7 days 06:00:00,-0.077652
2021-01-08 12:00:00,2021-01-01,7 days 12:00:00,0.60848856
2021-01-08 18:00:00,2021-01-01,7 days 18:00:00,-0.0027129927
2021-01-09 00:00:00,2021-01-01,8 days 00:00:00,-0.2550394
2021-01-09 06:00:00,2021-01-01,8 days 06:00:00,-0.43857
2021-01-09 12:00:00,2021-01-01,8 days 12:00:00,0.39817607
2021-01-09 18:00:00,2021-01-01,8 days 18:00:00,-0.30092514
2021-01-10 00:00:00,2021-01-01,9 days 00:00:00,-0.6467525
2021-01-10 06:00:00,2021-01-01,9 days 06:00:00,-0.82696563
2021-01-10 12:00:00,2021-01-01,9 days 12:00:00,0.13034736
2021-01-10 18:00:00,2021-01-01,9 days 18:00:00,-0.5609739
2021-01-11 00:00:00,2021-01-01,10 days 00:00:00,-0.86809015
2021-01-11 06:00:00,2021-01-01,10 days 06:00:00,-0.9976199
2021-01-11 12:00:00,2021-01-01,10 days 12:00:00,0.07520465
2021-01-11 18:00:00,2021-01-01,10 days 18:00:00,-0.5308654
2021-01-12 00:00:00,2021-01-01,11 days 00:00:00,-0.78277445
2021-01-12 06:00:00,2021-01-01,11 days 06:00:00,-0.8067488
2021-01-12 12:00:00,2021-01-01,11 days 12:00:00,0.41458848
2021-01-12 18:00:00,2021-01-01,11 days 18:00:00,-0.19665958
2021-01-13 00:00:00,2021-01-01,12 days 00:00:00,-0.4585135
2021-01-13 06:00:00,2021-01-01,12 days 06:00:00,-0.72874963
2021-01-13 12:00:00,2021-01-01,12 days 12:00:00,0.30222338
2021-01-13 18:00:00,2021-01-01,12 days 18:00:00,-0.33117262
2021-01-14 00:00:00,2021-01-01,13 days 00:00:00,-0.6278532
2021-01-14 06:00:00,2021-01-01,13 days 06:00:00,-0.76126456
2021-01-14 12:00:00,2021-01-01,13 days 12:00:00,0.27270767
